SPEED,Tension,Cross_Section,Layer,SHAPE,CASTER,GEO_FAULT
125,43,0.7854,5,1,0,0
125,41,0.7854,5,1,0,0
125,42,0.7854,5,1,0,0
125,43,0.7854,5,1,0,0
125,43,0.7854,5,1,0,0
125,41,0.7854,5,1,0,0
125,43,0.7854,5,1,0,0
125,43,0.7854,5,1,0,0
125,39,0.7854,5,1,0,0
125,43,0.7854,5,1,0,0
125,42,0.7854,5,1,0,0
125,39,0.7854,5,1,0,0
125,41,0.7854,5,1,0,0
125,42,0.7854,5,1,0,0
125,42,0.7854,5,1,0,0
125,41,0.7854,5,1,0,0
125,41,0.7854,5,1,0,0
125,43,0.7854,5,1,0,0
125,41,0.7854,5,1,0,0
125,41,0.7854,5,1,0,0
150,42,0.7854,1,1,0,0
150,44,0.7854,1,1,0,0
150,44,0.7854,1,1,0,0
150,37,0.7854,1,1,0,0
150,39,0.7854,1,1,0,0
150,42,0.7854,1,1,0,0
150,43,0.7854,1,1,0,0
150,43,0.7854,1,1,0,0
150,43,0.7854,1,1,0,0
150,43,0.7854,1,1,0,0
150,39,0.7854,1,1,0,0
150,43,0.7854,1,1,0,0
150,43,0.7854,1,1,0,0
150,42,0.7854,1,1,0,0
150,43,0.7854,1,1,0,0
150,43,0.7854,1,1,0,0
150,42,0.7854,1,1,0,0
150,44,0.7854,1,1,0,0
150,42,0.7854,1,1,0,0
150,44,0.7854,1,1,0,0
150,45,0.7854,2,1,0,0
150,42,0.7854,2,1,0,0
150,42,0.7854,2,1,0,0
150,42,0.7854,2,1,0,0
150,44,0.7854,2,1,0,0
150,42,0.7854,2,1,0,0
150,44,0.7854,2,1,0,0
150,43,0.7854,2,1,0,0
150,42,0.7854,2,1,0,0
150,43,0.7854,2,1,0,0
150,38,0.7854,2,1,0,0
150,37,0.7854,2,1,0,0
150,42,0.7854,2,1,0,0
150,38,0.7854,2,1,0,0
150,42,0.7854,2,1,0,0
150,44,0.7854,2,1,0,0
150,42,0.7854,2,1,0,0
150,39,0.7854,2,1,0,0
150,42,0.7854,2,1,0,0
150,41,0.7854,2,1,0,0
150,37,0.7854,3,1,0,0
150,39,0.7854,3,1,0,0
150,41,0.7854,3,1,0,0
150,42,0.7854,3,1,0,0
150,38,0.7854,3,1,0,0
150,42,0.7854,3,1,0,0
150,42,0.7854,3,1,0,0
150,39,0.7854,3,1,0,0
150,41,0.7854,3,1,0,0
150,41,0.7854,3,1,0,0
150,41,0.7854,3,1,0,0
150,43,0.7854,3,1,0,0
150,43,0.7854,3,1,0,0
