SPEED,Tension,Cross_Section,Layer,SHAPE,CASTER,GEO_FAULT
100,42,0.7854,4,3,0,0
100,38,0.7854,4,3,0,0
100,42,0.7854,4,3,0,0
100,41,0.7854,4,3,0,0
100,38,0.7854,4,3,0,0
100,41,0.7854,4,3,0,0
100,41,0.7854,4,3,0,0
100,42,0.7854,4,3,0,0
100,42,0.7854,4,3,0,0
100,38,0.7854,4,3,0,0
100,41,0.7854,4,3,0,0
100,41,0.7854,4,3,0,0
100,42,0.7854,4,3,0,0
100,41,0.7854,4,3,0,0
100,42,0.7854,4,3,0,0
100,42,0.7854,4,3,0,0
100,41,0.7854,4,3,0,0
100,42,0.7854,4,3,0,0
100,41,0.7854,4,3,0,0
100,41,0.7854,4,3,0,0
100,42,0.7854,5,3,0,0
100,41,0.7854,5,3,0,0
100,41,0.7854,5,3,0,0
100,42,0.7854,5,3,0,0
100,42,0.7854,5,3,0,0
100,41,0.7854,5,3,0,0
100,42,0.7854,5,3,0,0
100,42,0.7854,5,3,0,0
100,39,0.7854,5,3,0,0
100,42,0.7854,5,3,0,0
100,42,0.7854,5,3,0,0
100,39,0.7854,5,3,0,0
100,41,0.7854,5,3,0,0
100,42,0.7854,5,3,0,0
100,42,0.7854,5,3,0,0
100,41,0.7854,5,3,0,0
100,41,0.7854,5,3,0,0
100,42,0.7854,5,3,0,0
100,41,0.7854,5,3,0,0
100,41,0.7854,5,3,0,0
100,42,0.384846,1,1,0,0
100,37,0.384846,1,1,0,0
100,44,0.384846,1,1,0,0
100,44,0.384846,1,1,0,0
100,44,0.384846,1,1,0,0
100,38,0.384846,1,1,0,0
100,41,0.384846,1,1,0,0
100,42,0.384846,1,1,0,0
100,42,0.384846,1,1,0,0
100,39,0.384846,1,1,0,0
100,41,0.384846,1,1,0,0
100,43,0.384846,1,1,0,0
100,42,0.384846,1,1,0,0
100,43,0.384846,1,1,0,0
100,41,0.384846,1,1,0,0
100,44,0.384846,1,1,0,0
100,43,0.384846,1,1,0,0
100,43,0.384846,1,1,0,0
100,41,0.384846,1,1,0,0
100,42,0.384846,1,1,0,0
100,42,0.384846,2,1,0,0
100,38,0.384846,2,1,0,0
100,42,0.384846,2,1,0,0
100,42,0.384846,2,1,0,0
100,37,0.384846,2,1,0,0
100,43,0.384846,2,1,0,0
